Year,Local Government Area,Location Division,Location Subdivision,Location Group,Offence Count
2023,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,5
2023,Alpine,1 Residential,11 Dwelling - private,112 House,150
2023,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,9
2023,Alpine,1 Residential,11 Dwelling - private,117 Farm House,3
2023,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2023,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2023,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,9
2023,Alpine,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2023,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,4
2023,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,10
2023,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,8
2023,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,4
2023,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,6
2023,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),1
2023,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,9
2023,Alpine,2 Community,21 Education,211 School,1
2023,Alpine,2 Community,21 Education,212 School Grounds,1
2023,Alpine,2 Community,21 Education,213 Other Educational,2
2023,Alpine,2 Community,22 Health,221 Hospital,1
2023,Alpine,2 Community,22 Health,224 Other Health,1
2023,Alpine,2 Community,23 Religious,231 Church,1
2023,Alpine,2 Community,25 Other Transport,251 Private Car,1
2023,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),1
2023,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2023,Alpine,2 Community,26 Justice,261 Police Station,4
2023,Alpine,2 Community,26 Justice,262 Court,1
2023,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,26
2023,Alpine,2 Community,27 Open Space,272 Rural,2
2023,Alpine,2 Community,27 Open Space,275 Other Open Space,3
2023,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,66
2023,Alpine,2 Community,29 Other community location,294 Car Wash,2
2023,Alpine,3 Other,31 Admin/professional,311 Business Office,1
2023,Alpine,3 Other,31 Admin/professional,312 Other Admin/Professional,1
2023,Alpine,3 Other,32 Financial,321 Bank,1
2023,Alpine,3 Other,33 Retail,331 Chemist/Pharmacy,1
2023,Alpine,3 Other,33 Retail,3310 24Hr Convenience,1
2023,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,8
2023,Alpine,3 Other,33 Retail,3312 Other Retail,20
2023,Alpine,3 Other,33 Retail,332 Service Station,9
2023,Alpine,3 Other,33 Retail,334 2nd Hand Dealer,1
2023,Alpine,3 Other,33 Retail,335 Supermarket,5
2023,Alpine,3 Other,33 Retail,339 Milkbar,3
2023,Alpine,3 Other,37 Agricultural,371 Farmland/Agricultural,3
2023,Alpine,3 Other,37 Agricultural,373 Other Agricultural,2
2023,Alpine,3 Other,38 Recreational,381 Licensed Premises,19
2023,Alpine,3 Other,38 Recreational,383 Cinema,1
2023,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,5
2023,Alpine,3 Other,38 Recreational,386 Other Rec./Sports,2
2023,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),10
2023,Alpine,3 Other,39 Other location,393 Construction Site,3
2023,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,161
2023,Ararat,1 Residential,11 Dwelling - private,112 House,468
2023,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,1
2023,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,5
2023,Ararat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,2
2023,Ararat,1 Residential,11 Dwelling - private,117 Farm House,10
2023,Ararat,1 Residential,12 Dwelling  - non-private,121 Boarding House,2
2023,Ararat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,5
2023,Ararat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,4
2023,Ararat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2023,Ararat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,9
2023,Ararat,1 Residential,13 Grounds/surrounding land,132 Backyard,27
2023,Ararat,1 Residential,13 Grounds/surrounding land,133 Frontyard,31
2023,Ararat,1 Residential,13 Grounds/surrounding land,134 Garage,10
2023,Ararat,1 Residential,13 Grounds/surrounding land,135 Shed,11
2023,Ararat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,5
2023,Ararat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),6
2023,Ararat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,33
2023,Ararat,2 Community,21 Education,211 School,8
2023,Ararat,2 Community,21 Education,212 School Grounds,3
2023,Ararat,2 Community,22 Health,221 Hospital,4
2023,Ararat,2 Community,22 Health,222 Medical Centre,1
2023,Ararat,2 Community,22 Health,224 Other Health,1
2023,Ararat,2 Community,24 Public Transport,241 Train,3
2023,Ararat,2 Community,24 Public Transport,2410 Rail Track,2
2023,Ararat,2 Community,24 Public Transport,242 Train Station,5
