institution,campus_name,address,suburb,postcode,latitude,longitude,wkb_geometry
Australian Catholic University,Melbourne (St Patrick's),115 Victoria Parade,FITZROY,3065,-37.8074982,144.9778998,MULTIPOINT ((-37.8074982 144.9778998))
Australian Catholic University,Ballarat (Aquinas),1200 Mair Street,BALLARAT,3350,-37.5572608,143.8436351,MULTIPOINT ((-37.5572608 143.8436351))
Australian Catholic University,Ararat Hospital,Girdlestone St,ARARAT,3377,-37.2794987,142.9323255,MULTIPOINT ((-37.2794987 142.9323255))
Charles Darwin University,CDU Melbourne,271 Collins Street,MELBOURNE,3000,-37.8163179,144.9648676,MULTIPOINT ((-37.8163179 144.96486759999996))
Charles Sturt University,CSU Study Centre - Melbourne,30 Church Lane,MELBOURNE,3000,-37.8170805,144.9575657,MULTIPOINT ((-37.8170805 144.9575657))
CQ University,Melbourne,120 Spencer Street,MELBOURNE,3000,-37.8182122,144.9543022,MULTIPOINT ((-37.8182122 144.9543022))
Deakin University,Burwood,221 Burwood Highway,BURWOOD,3125,-37.8467404,145.1151129,MULTIPOINT ((-37.846740399999995 145.1151129))
Deakin University,Waurn Ponds,Pigdons Road Waurn Ponds,GEELONG,3216,-38.1983725,144.2988104,MULTIPOINT ((-38.1983725 144.2988104))
Deakin University,Waterfront,1 Gheringhap Street,GEELONG,3220,-38.1435006,144.3596982,MULTIPOINT ((-38.1435006 144.3596982))
Deakin University,Warrnambool,Princess Highway,WARRNAMBOOL,3280,-38.391417,142.538222,MULTIPOINT ((-38.39141699999999 142.538222))
Federation University Australia,Camp Street (Ballarat),Camp Street,BALLARAT,3350,-37.5612738,143.858911,MULTIPOINT ((-37.5612738 143.858911))
Federation University Australia,Wendouree (Rural Science),Gillies Street,WENDOUREE,3350,-37.5417237,143.82245,MULTIPOINT ((-37.5417237 143.82245))
Federation University Australia,SMB (Ballarat),Lydiard Street South,BALLARAT,3350,-37.5654017,143.857426,MULTIPOINT ((-37.5654017 143.857426))
Federation University Australia,Mount Helen (Ballarat),University Drive Mount Helen,BALLARAT,3350,-37.626441,143.8910952,MULTIPOINT ((-37.62644099999999 143.8910952))
Federation University Australia,Head office,University Drive Mount Helen,BALLARAT,3350,-37.565409,143.857545,MULTIPOINT ((-37.565409 143.857545))
Federation University Australia,Mount Rowan (Rural Science),Rose Hill Road,MOUNT ROWAN,3352,-37.5060127,143.8469921,MULTIPOINT ((-37.5060127 143.8469921))
Federation University Australia,Wimmera (Horsham),Baillie Street,HORSHAM,3400,-36.7123361,142.1850431,MULTIPOINT ((-36.7123361 142.1850431))
Federation University Australia,Berwick,100 Clyde Road,BERWICK,3806,-38.0404323,145.3396478,MULTIPOINT ((-38.0404323 145.3396478))
Federation University Australia,Gippsland (Churchill),Northways Road,CHURCHILL,3842,-38.311211,146.429409,MULTIPOINT ((-38.311211 146.429409))
La Trobe University,Franklin Street,215 Franklin Street,MELBOURNE,3000,-37.8096983,144.9576206,MULTIPOINT ((-37.8096983 144.95762059999998))
La Trobe University,City,360 Collins Street,MELBOURNE,3000,-37.8163859,144.962315,MULTIPOINT ((-37.8163859 144.96231499999996))
La Trobe University,Melbourne,Kingsbury Drive,BUNDOORA,3086,-37.7206671,145.048414,MULTIPOINT ((-37.7206671 145.048414))
La Trobe University,Mildura,471 Benetook Avenue,MILDURA,3500,-34.2056162,142.1666629,MULTIPOINT ((-34.2056162 142.16666289999998))
La Trobe University,Bendigo,Edwards Road,FLORA HILL,3550,-36.7808142,144.2999769,MULTIPOINT ((-36.7808142 144.2999769))
La Trobe University,Shepparton,210 Fryers Street,SHEPPARTON,3630,-36.3804587,145.4065274,MULTIPOINT ((-36.38045869999999 145.4065274))
La Trobe University,Albury-Wodonga,University Drive,WODONGA,3690,-36.1114034,146.8488051,MULTIPOINT ((-36.1114034 146.8488051))
Macquarie University,Melbourne Applied Finance Ctr,500 Collins Street,MELBOURNE,3000,-37.81784,144.9576146,MULTIPOINT ((-37.81784 144.9576146))
Monash University,City - Law Chambers,555 Lonsdale Street,MELBOURNE,3000,-37.8143737,144.9561152,MULTIPOINT ((-37.8143737 144.95611519999997))
Monash University,City - Collins Street,271 Collins Street,MELBOURNE,3000,-37.8163179,144.9648676,MULTIPOINT ((-37.8163179 144.96486759999996))
Monash University,Burnet Institute,85 Commercial Road,MELBOURNE,3000,-37.845725,144.984029,MULTIPOINT ((-37.845725 144.984029))
Monash University,Parkville,381 Royal Parade,PARKVILLE,3052,-37.7839869,144.9587477,MULTIPOINT ((-37.783986899999995 144.9587477))
