FID,ogc_fid,institution,campus_name,address1,address2,suburb,state,postcode,country,street_address,provider_type,latitude,longitude,wkb_geometry
aurin_national_education_dataset_universities_2018.1,1,Australian Catholic University,North Sydney (MacKillop),,40 Edward Street,NORTH SYDNEY,NSW,2060,Australia,"40 Edward Street,NORTH SYDNEY,NSW,2060,Australia",University,-33.8373959,151.2034248,MULTIPOINT ((-33.8373959 151.2034248))
aurin_national_education_dataset_universities_2018.2,2,Australian Catholic University,Strathfield (Mount Saint Mary),,25A Barker Road,STRATHFIELD,NSW,2135,Australia,"25A Barker Road,STRATHFIELD,NSW,2135,Australia",University,-33.8761164,151.0762594,MULTIPOINT ((-33.8761164 151.0762594))
aurin_national_education_dataset_universities_2018.3,3,Australian Catholic University,Canberra (Signadou),,223 Antill Street,WATSON,ACT,2602,Australia,"223 Antill Street,WATSON,ACT,2602,Australia",University,-35.2457237,149.1553525,MULTIPOINT ((-35.2457237 149.1553525))
aurin_national_education_dataset_universities_2018.4,4,Australian Catholic University,Melbourne (St Patrick's),,115 Victoria Parade,FITZROY,VIC,3065,Australia,"115 Victoria Parade,FITZROY,VIC,3065,Australia",University,-37.8074982,144.9778998,MULTIPOINT ((-37.8074982 144.9778998))
aurin_national_education_dataset_universities_2018.5,5,Australian Catholic University,Ballarat (Aquinas),,1200 Mair Street,BALLARAT,VIC,3350,Australia,"1200 Mair Street,BALLARAT,VIC,3350,Australia",University,-37.5572608,143.8436351,MULTIPOINT ((-37.5572608 143.8436351))
aurin_national_education_dataset_universities_2018.6,6,Australian Catholic University,Ararat Hospital,,Girdlestone St,ARARAT,VIC,3377,Australia,"Girdlestone St,ARARAT,VIC,3377,Australia",University,-37.2794987,142.9323255,MULTIPOINT ((-37.2794987 142.9323255))
aurin_national_education_dataset_universities_2018.7,7,Australian Catholic University,Brisbane (McAuley at Banyo),,1100 Nudgee Road,BANYO,QLD,4014,Australia,"1100 Nudgee Road,BANYO,QLD,4014,Australia",University,-27.3784269,153.0899136,MULTIPOINT ((-27.378426899999997 153.0899136))
aurin_national_education_dataset_universities_2018.8,8,Australian Catholic University,Adelaide (St Francis),,116 George Street,THEBARTON,SA,5031,Australia,"116 George Street,THEBARTON,SA,5031,Australia",University,-34.9194746,138.5697531,MULTIPOINT ((-34.9194746 138.5697531))
aurin_national_education_dataset_universities_2018.9,9,Australian National University,North Australia Research Unit,,23 Ellengowan Dr,BRINKIN,NT,810,Australia,"23 Ellengowan Dr, BRINKIN, NT, 810, Australia",University,-12.3698318,130.8715435,MULTIPOINT ((-12.3698318 130.8715435))
aurin_national_education_dataset_universities_2018.10,10,Australian National University,Siding Spring Observatory,,Observatory Rd,COONABARABRAN,NSW,2357,Australia,"Observatory Rd, COONABARABRAN, NSW, 2357, Australia",University,-31.274878,149.068418,MULTIPOINT ((-31.274878 149.068418))
aurin_national_education_dataset_universities_2018.11,11,Australian National University,Kioloa,,496 Murramarang Rd,KIOLOA,NSW,2539,Australia,"496 Murramarang Rd, KIOLOA, NSW, 2539, Australia",University,-35.544884,150.380816,MULTIPOINT ((-35.544883999999996 150.38081599999998))
aurin_national_education_dataset_universities_2018.12,12,Australian National University,Canberra,Student Central at ANU Student Exchange Building,121 Marcus Clarke Street,CANBERRA,ACT,2601,Australia,"121 Marcus Clarke Street,CANBERRA,ACT,2601,Australia",University,-35.27806,149.1260511,MULTIPOINT ((-35.27806 149.1260511))
aurin_national_education_dataset_universities_2018.13,13,Australian National University,Mount Stromolo Observatory,,Cotter Rd,WESTON CREEK,ACT,2611,Australia,"Cotter Rd, WESTON CREEK, ACT, 2611, Australia",University,-35.320813,149.007258,MULTIPOINT ((-35.320812999999994 149.007258))
aurin_national_education_dataset_universities_2018.14,14,Bond University,Gold Coast,,14 University Drive,ROBINA,QLD,4229,Australia,"14 University Drive,ROBINA,QLD,4229,Australia",University,-28.0730934,153.4166377,MULTIPOINT ((-28.0730934 153.41663769999997))
